18,5,5,4,4,1,3,1,0.0,1,3,2,0.0,1,2,0.0,1,1,2,2,0.0,3,0.0,12,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
20,15,5,5,0.0,6,8,1,3,1,1,1,0.0,2,4,0.0,1,0.0,1,2,1,1,0.0,16,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0
16,9,6,7,1,1,0.0,1,1,3,1,0.0,2,0.0,1,2,2,1,1,0.0,2,0.0,0.0,13,276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0
25,12,9,9,5,1,2,4,2,0.0,2,0.0,0.0,1,1,1,6,2,3,1,3,1,1,21,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0
19,10,5,3,3,2,1,1,1,0.0,1,1,2,2,2,1,1,0.0,1,0.0,0.0,0.0,0.0,14,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
30,14,9,7,3,1,2,1,1,1,2,4,1,0.0,0.0,4,0.0,0.0,2,1,1,3,2,21,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0
13,9,7,3,1,1,4,1,1,0.0,1,0.0,2,1,2,2,1,1,2,1,3,0.0,0.0,14,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0
20,11,7,7,5,1,2,3,1,2,3,2,3,1,0.0,3,3,1,2,4,2,1,3,24,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
15,8,6,1,3,1,3,3,1,1,2,1,0.0,0.0,1,3,0.0,0.0,2,0.0,2,3,1,13,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
30,15,5,2,2,1,3,3,1,3,2,2,4,3,4,1,3,1,2,1,5,1,1,16,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
