examples.ping.Ping_1,examples.ping.Ping_2,examples.ping.Ping_3,examples.ping.Ping_4,examples.ping.Ping_5,examples.ping.Ping_6,examples.ping.Ping_7,examples.ping.Ping_8,examples.ping.Ping_9,examples.ping.Ping_10,examples.ping.Ping_11,examples.ping.Ping_12,examples.ping.Ping_13,examples.ping.Ping_14,examples.ping.Ping_15,examples.ping.Ping_16,examples.ping.Ping_17,examples.ping.Ping_18,examples.ping.Ping_19,examples.ping.Ping_20,examples.ping.Ping_21,examples.ping.Ping_22,examples.ping.Ping_23,examples.ping.Ping_24,wwc.messaging.WWCSystem_1,wwc.messaging.WWCSystem_2,wwc.messaging.WWCSystem_3,wwc.messaging.WWCSystem_4,wwc.messaging.WWCSystem_5,wwc.messaging.WWCSystem_6,wwc.messaging.WWCSystem_7,wwc.messaging.WWCSystem_8,wwc.messaging.WWCSystem_9,wwc.messaging.WWCSystem_10,wwc.messaging.WWCSystem_11,wwc.messaging.WWCSystem_12,wwc.messaging.WWCSystem_13,wwc.messaging.WWCSystem_14,wwc.messaging.WWCSystem_15,wwc.messaging.WWCSystem_16,wwc.messaging.WWCSystem_17,wwc.messaging.WWCSystem_18,wwc.messaging.WWCSystem_19,wwc.messaging.WWCSystem_20,wwc.messaging.WWCSystem_21,wwc.messaging.WWCSystem_22,wwc.messaging.WWCSystem_23,wwc.messaging.WWCSystem_24,BatteryDropTime
2.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,3.0,2.0,2.0,1.0,8.0,10.0,3.0,7.0,3.0,6.0,6.0,6.0,5.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0
0.0,0.0,1.0,0.0,0.0,0.0,13.0,6.0,5.0,2.0,0.0,2.0,4.0,10.0,7.0,4.0,8.0,6.0,6.0,7.0,7.0,6.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0
0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,2.0,0.0,0.0,2.0,3.0,5.0,9.0,8.0,3.0,5.0,4.0,5.0,8.0,2.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0
0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,1.0,1.0,4.0,2.0,4.0,7.0,13.0,5.0,10.0,4.0,11.0,9.0,9.0,6.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0
1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,6.0,1.0,0.0,6.0,3.0,5.0,2.0,4.0,5.0,5.0,7.0,9.0,9.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0
0.0,0.0,1.0,0.0,0.0,0.0,9.0,5.0,1.0,2.0,1.0,3.0,2.0,10.0,6.0,4.0,4.0,1.0,5.0,7.0,8.0,5.0,5.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0
0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,8.0,5.0,5.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
1.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,4.0,5.0,2.0,5.0,5.0,3.0,8.0,2.0,4.0,7.0,9.0,8.0,6.0,5.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,6.0,5.0,2.0,4.0,10.0,6.0,6.0,7.0,5.0,8.0,9.0,9.0,10.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,4.0,0.0,5.0,2.0,3.0,4.0,5.0,3.0,2.0,6.0,5.0,10.0,3.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0
1.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,2.0,8.0,3.0,2.0,4.0,6.0,5.0,3.0,5.0,7.0,12.0,7.0,10.0,8.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0
0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,2.0,2.0,6.0,8.0,3.0,2.0,4.0,9.0,2.0,5.0,3.0,4.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,1.0,2.0,1.0,5.0,9.0,6.0,9.0,6.0,6.0,7.0,11.0,10.0,11.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0
0.0,0.0,0.0,0.0,1.0,0.0,10.0,5.0,2.0,1.0,4.0,2.0,5.0,11.0,5.0,9.0,12.0,5.0,5.0,7.0,8.0,8.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0
1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,1.0,1.0,0.0,4.0,6.0,4.0,4.0,2.0,1.0,6.0,3.0,3.0,8.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0
0.0,0.0,0.0,1.0,0.0,0.0,9.0,3.0,5.0,5.0,4.0,1.0,6.0,2.0,9.0,8.0,6.0,5.0,6.0,9.0,12.0,4.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0
0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,1.0,2.0,0.0,4.0,5.0,3.0,9.0,4.0,4.0,7.0,7.0,2.0,5.0,6.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0
0.0,0.0,2.0,0.0,0.0,0.0,9.0,4.0,1.0,2.0,1.0,4.0,4.0,9.0,3.0,5.0,10.0,5.0,8.0,8.0,3.0,9.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,4.0,3.0,2.0,2.0,6.0,9.0,4.0,6.0,5.0,5.0,11.0,9.0,14.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0
1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,3.0,2.0,2.0,3.0,8.0,6.0,3.0,2.0,7.0,4.0,8.0,5.0,8.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0
0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,2.0,6.0,3.0,3.0,5.0,4.0,4.0,10.0,3.0,7.0,2.0,9.0,6.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0
1.0,0.0,0.0,2.0,0.0,1.0,5.0,2.0,3.0,6.0,4.0,6.0,3.0,6.0,5.0,5.0,5.0,8.0,9.0,4.0,5.0,5.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0
0.0,0.0,0.0,0.0,1.0,1.0,11.0,2.0,2.0,2.0,2.0,4.0,3.0,7.0,1.0,3.0,9.0,7.0,7.0,7.0,2.0,7.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,3.0,2.0,0.0,6.0,4.0,2.0,4.0,4.0,4.0,8.0,0.0,3.0,3.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,1.0,3.0,4.0,3.0,9.0,15.0,8.0,11.0,4.0,9.0,13.0,9.0,12.0,6.0,14.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,0.0,1.0,2.0,11.0,9.0,8.0,8.0,9.0,6.0,9.0,12.0,7.0,9.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0
0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,4.0,3.0,4.0,0.0,4.0,4.0,2.0,8.0,3.0,1.0,4.0,2.0,4.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
0.0,0.0,0.0,2.0,0.0,0.0,6.0,4.0,2.0,3.0,4.0,2.0,5.0,10.0,7.0,8.0,13.0,7.0,4.0,7.0,5.0,9.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0
2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,9.0,1.0,4.0,6.0,4.0,1.0,7.0,2.0,6.0,6.0,7.0,3.0,8.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
1.0,0.0,0.0,0.0,0.0,1.0,12.0,2.0,3.0,5.0,6.0,6.0,5.0,6.0,6.0,3.0,4.0,9.0,8.0,10.0,9.0,12.0,13.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,5.0,2.0,5.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
1.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,2.0,0.0,3.0,4.0,7.0,3.0,9.0,6.0,3.0,13.0,10.0,16.0,6.0,9.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0
0.0,0.0,1.0,1.0,0.0,0.0,16.0,3.0,1.0,6.0,2.0,7.0,12.0,10.0,7.0,10.0,8.0,8.0,10.0,7.0,17.0,12.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,2.0,2.0,0.0,3.0,5.0,4.0,2.0,3.0,7.0,4.0,11.0,5.0,6.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,2.0,5.0,1.0,9.0,11.0,6.0,10.0,4.0,6.0,9.0,9.0,4.0,6.0,10.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,7.0,4.0,2.0,4.0,2.0,6.0,5.0,14.0,11.0,2.0,4.0,6.0,6.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,3.0,4.0,3.0,9.0,11.0,6.0,5.0,10.0,4.0,18.0,11.0,11.0,9.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0
0.0,0.0,0.0,0.0,2.0,0.0,9.0,7.0,4.0,1.0,4.0,0.0,5.0,12.0,7.0,4.0,8.0,7.0,13.0,7.0,3.0,6.0,7.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0
0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,4.0,5.0,3.0,7.0,4.0,2.0,7.0,1.0,6.0,6.0,13.0,9.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0
0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,7.0,4.0,5.0,3.0,3.0,13.0,8.0,7.0,11.0,14.0,12.0,8.0,13.0,12.0,7.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.0,3.0,0.0,1.0,7.0,3.0,1.0,2.0,4.0,4.0,2.0,4.0,1.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,3.0,2.0,1.0,5.0,1.0,5.0,3.0,5.0,1.0,5.0,4.0,5.0,3.0,2.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,6.0,1.0,2.0,1.0,2.0,8.0,3.0,3.0,1.0,6.0,3.0,5.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
0.0,0.0,0.0,0.0,3.0,0.0,7.0,8.0,3.0,4.0,1.0,2.0,5.0,3.0,8.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0
