V1,V2
5,235.0
5,360.0
5,181.0
5,361.0
5,301.0
5,180.0
5,302.0
5,191.0
5,350.0
5,361.0
5,214.0
5,387.0
5,181.0
5,314.0
5,288.0
5,300.0
5,324.0
5,278.0
5,300.0
5,241.0
5,361.0
5,223.0
5,379.0
5,361.0
5,181.0
5,360.0
5,241.0
5,295.0
5,366.0
5,241.0
5,332.0
5,270.0
5,301.0
5,240.0
5,301.0
5,301.0
5,181.0
5,300.0
5,169.0
5,311.0
5,302.0
5,166.0
5,315.0
5,240.0
5,251.0
5,230.0
5,361.0
5,280.0
5,262.0
5,300.0
5,241.0
5,361.0
5,301.0
5,180.0
5,361.0
5,156.0
5,386.0
5,181.0
5,312.0
5,335.0
5,195.0
5,307.0
5,234.0
5,301.0
5,293.0
5,248.0
5,300.0
5,241.0
5,361.0
5,183.0
5,336.0
5,383.0
5,156.0
5,386.0
5,240.0
5,294.0
5,247.0
5,302.0
5,270.0
5,211.0
5,241.0
5,180.0
5,241.0
5,240.0
5,181.0
5,180.0
5,200.0
5,181.0
5,278.0
5,321.0
135,131.0
135,133.0
135,134.0
265,264.0
265,269.0
145,143.0
275,270.0
275,272.0
155,151.0
155,158.0
155,157.0
285,287.0
285,285.0
285,288.0
285,286.0
285,285.0
295,299.0
295,300.0
295,299.0
295,291.0
295,300.0
295,300.0
295,299.0
295,300.0
295,294.0
295,299.0
295,291.0
295,300.0
295,291.0
175,179.0
175,180.0
175,179.0
175,179.0
175,169.0
175,178.0
175,179.0
175,178.0
175,170.0
175,171.0
175,179.0
305,300.0
305,302.0
305,301.0
305,301.0
185,179.0
185,180.0
185,180.0
185,189.0
185,180.0
185,189.0
185,180.0
185,179.0
185,180.0
185,180.0
185,180.0
185,180.0
205,207.0
205,200.0
205,202.0
215,210.0
215,216.0
215,219.0
225,222.0
225,229.0
235,239.0
235,239.0
235,239.0
235,239.0
235,239.0
235,239.0
235,239.0
235,240.0
235,240.0
235,240.0
115,119.0
245,240.0
245,240.0
245,240.0
245,240.0
245,240.0
245,248.0
245,249.0
125,127.0
125,119.0
125,128.0
125,120.0
125,127.0
125,119.0
125,120.0
255,258.0
255,250.0
255,254.0
255,251.0
