demo1.Nqueens_1,demo1.Nqueens_2,demo1.Nqueens_3,demo1.Nqueens_4,demo1.Nqueens_5,demo1.Nqueens_6,demo1.Nqueens_7,demo1.Nqueens_8,demo1.Nqueens_9,demo1.Nqueens_10,demo1.Nqueens_11,demo1.Nqueens_12,demo1.Nqueens_13,demo1.Nqueens_14,demo1.Nqueens_15,demo1.Nqueens_16,demo1.Nqueens_17,demo1.Nqueens_18,demo1.Nqueens_19,demo1.Nqueens_20,demo1.Nqueens_21,demo1.Nqueens_22,demo1.Nqueens_23,demo1.Nqueens_24,BatteryDropTime
27.0,8.0,1.0,0.0,0.0,2.0,6.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
24.0,15.0,0.0,1.0,0.0,2.0,8.0,14.0,8.0,1.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
17.0,6.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
31.0,16.0,5.0,6.0,6.0,5.0,1.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
16.0,7.0,3.0,3.0,2.0,3.0,1.0,6.0,9.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
41.0,7.0,1.0,2.0,3.0,7.0,3.0,10.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
32.0,7.0,4.0,1.0,2.0,1.0,5.0,14.0,8.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
38.0,3.0,1.0,2.0,1.0,2.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
32.0,20.0,0.0,0.0,1.0,2.0,4.0,12.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
45.0,8.0,4.0,1.0,4.0,1.0,5.0,12.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90
29.0,7.0,0.0,1.0,0.0,0.0,3.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
